ds,hierarchy_2_code,item_id,y
2021-10-09,82,1078620,2.0
2021-10-09,43,17269,1.0
2021-10-09,15,971991,54.0
2021-10-09,72,977410,18.0
2021-10-09,71,440500,43.0
2021-10-09,61,494937,3.0
2021-10-09,15,1394,10.969
2021-10-09,15,376635,13.0
2021-10-10,60,937937,5.0
2021-10-10,82,955764,2.0
2021-10-10,101,3935,0.0
2021-10-10,15,1403,24.0
2021-10-10,82,1138428,5.0
2021-10-10,101,3906,0.0
2021-10-10,54,945593,2.0
2021-10-10,82,1078620,0.0
2021-10-10,43,17269,1.0
2021-10-10,15,971991,65.0
2021-10-10,72,977410,18.0
2021-10-10,71,440500,29.0
2021-10-10,61,494937,3.0
2021-10-10,15,1394,4.58
2021-10-10,15,376635,19.0
2021-10-11,60,937937,13.0
2021-10-11,82,955764,4.0
2021-10-11,101,3935,0.0
2021-10-11,15,1403,65.0
2021-10-11,82,1138428,1.0
2021-10-11,101,3906,0.0
2021-10-11,54,945593,4.0
2021-10-11,82,1078620,1.0
2021-10-11,43,17269,3.0
2021-10-11,15,971991,59.0
2021-10-11,72,977410,21.0
2021-10-11,71,440500,30.0
2021-10-11,61,494937,3.0
2021-10-11,15,1394,7.735
2021-10-11,15,376635,11.0
2021-10-12,60,937937,7.0
2021-10-12,82,955764,1.0
2021-10-12,101,3935,0.0
2021-10-12,15,1403,59.0
2021-10-12,82,1138428,1.0
2021-10-12,101,3906,0.0
2021-10-12,54,945593,3.0
2021-10-12,82,1078620,0.0
2021-10-12,43,17269,1.0
2021-10-12,15,971991,54.0
2021-10-12,72,977410,25.0
2021-10-12,71,440500,31.0
2021-10-12,61,494937,4.0
2021-10-12,15,1394,5.13
2021-10-12,15,376635,4.0
2021-10-13,60,937937,10.0
2021-10-13,82,955764,1.0
2021-10-13,101,3935,1.0
2021-10-13,15,1403,94.0
2021-10-13,82,1138428,2.0
2021-10-13,101,3906,2.0
2021-10-13,54,945593,6.0
2021-10-13,82,1078620,0.0
